+--------------------------------------------------------------------------------------------------------------------------------------------------+
| key                                                                | types                                 | occurrences | percents              |
| ingredients_ids_debug                                              | Array                                 |        3025 |  75.58720639680160502 |
| ingredients_original_tags                                          | Array                                 |        3025 |  75.58720639680160502 |
| ingredients_tags                                                   | Array                                 |        3025 |  75.58720639680160502 |
| ingredients_text_debug                                             | null (2529),String (496)              |        3025 |  75.58720639680160502 |
| ingredients_that_may_be_from_palm_oil_tags                         | Array                                 |        3025 |  75.58720639680160502 |
| minerals_prev_tags                                                 | Array                                 |        3025 |  75.58720639680160502 |
| minerals_tags                                                      | Array                                 |        3025 |  75.58720639680160502 |
| nova_group_debug                                                   | String                                |        3025 |  75.58720639680160502 |
| nucleotides_prev_tags                                              | Array                                 |        3025 |  75.58720639680160502 |
| nucleotides_tags                                                   | Array                                 |        3025 |  75.58720639680160502 |
| nutriments                                                         | Object                                |        3025 |  75.58720639680160502 |
| traces_from_ingredients                                            | String                                |        3025 |  75.58720639680160502 |
| traces_hierarchy                                                   | Array                                 |        3025 |  75.58720639680160502 |
| traces_tags                                                        | Array                                 |        3025 |  75.58720639680160502 |
| unknown_ingredients_n                                              | Number                                |        3025 |  75.58720639680160502 |
| vitamins_prev_tags                                                 | Array                                 |        3025 |  75.58720639680160502 |
| vitamins_tags                                                      | Array                                 |        3025 |  75.58720639680160502 |
| nutrition_grades_tags                                              | Array                                 |        2887 |  72.13893053473263706 |
| nutrition_score_debug                                              | String                                |        2887 |  72.13893053473263706 |
| misc_tags                                                          | Array                                 |        2886 |  72.11394302848576388 |
| quality_tags                                                       | Array                                 |        2886 |  72.11394302848576388 |
| images.front_fr.angle                                              | Number (1622),null (1238),String (12) |        2872 |  71.76411794102948249 |
| images.front_fr.x1                                                 | Number (930),null (1238),String (704) |        2872 |  71.76411794102948249 |
| images.front_fr.x2                                                 | Number (930),null (1238),String (704) |        2872 |  71.76411794102948249 |
| images.front_fr.y1                                                 | Number (930),null (1238),String (704) |        2872 |  71.76411794102948249 |
| images.front_fr.y2                                                 | Number (930),null (1238),String (704) |        2872 |  71.76411794102948249 |
| ingredients_text_with_allergens                                    | null (2373),String (492)              |        2865 |  71.58920539730135602 |
| nova_group_tags                                                    | Array                                 |        2823 |  70.53973013493254030 |
| ingredients_text_with_allergens_fr                                 | null (2240),String (461)              |        2701 |  67.49125437281360007 |
| nutrient_levels                                                    | Object                                |        2577 |  64.39280359820089927 |
| nutrient_levels_tags                                               | Array                                 |        2577 |  64.39280359820089927 |
| interface_version_modified                                         | String                                |        2489 |  62.19390304847576090 |
| nutrition_data_per                                                 | String                                |        2433 |  60.79460269865067801 |
| serving_quantity                                                   | Number                                |        2433 |  60.79460269865067801 |
| unknown_nutrients_tags                                             | Array                                 |        2433 |  60.79460269865067801 |
| product_name                                                       | String                                |        2386 |  59.62018990504747507 |
| no_nutrition_data                                                  | String                                |        2306 |  57.62118940529735056 |
| product_name_fr                                                    | String                                |        2110 |  52.72363818090954624 |
| quantity                                                           | String                                |        1947 |  48.65067466266866347 |
| quantity_debug_tags                                                | Array                                 |        1823 |  45.55222388805596978 |
| brands                                                             | String                                |        1786 |  44.62768615692154128 |
| brands_tags                                                        | Array                                 |        1786 |  44.62768615692154128 |
| nutrition_data_prepared_per                                        | String                                |        1776 |  44.37781109445277394 |
| brands_debug_tags                                                  | Array                                 |        1701 |  42.50374812593702956 |
| update_key                                                         | String                                |        1613 |  40.30484757621189118 |
| images.2                                                           | Object                                |        1509 |  37.70614692653673217 |
| images.2.sizes                                                     | Object                                |        1509 |  37.70614692653673217 |
| images.2.sizes.100                                                 | Object                                |        1509 |  37.70614692653673217 |
